rank,primary_isbn13,title,author,list,date,month_on_list
1,9780553901139,ALONE,Lisa Gardner,combined-print-and-e-book-fiction,2011-03-01,1.0
2,9780316129183,TICK TOCK,James Patterson and Michael Ledwidge,combined-print-and-e-book-fiction,2011-03-01,1.0
3,9780307272119,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,combined-print-and-e-book-fiction,2011-03-01,1.0
4,9781565125858,WATER FOR ELEPHANTS,Sara Gruen,combined-print-and-e-book-fiction,2011-03-01,1.0
5,9780307272300,THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson,combined-print-and-e-book-fiction,2011-03-01,1.0
6,9780307593672,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson,combined-print-and-e-book-fiction,2011-03-01,1.0
7,9781101475690,A DISCOVERY OF WITCHES,Deborah Harkness,combined-print-and-e-book-fiction,2011-03-01,1.0
8,9781439177013,DREAMS OF A DARK WARRIOR,Kresley Cole,combined-print-and-e-book-fiction,2011-03-01,1.0
9,9780307271341,CUTTING FOR STONE,Abraham Verghese,combined-print-and-e-book-fiction,2011-03-01,1.0
10,9781440697661,THE HELP,Kathryn Stockett,combined-print-and-e-book-fiction,2011-03-01,1.0
11,9780385534130,THE CONFESSION,John Grisham,combined-print-and-e-book-fiction,2011-03-01,1.0
12,9780979190919,HER LAST LETTER,Nancy C Johnson,combined-print-and-e-book-fiction,2011-03-01,1.0
13,9781101476543,DEAD OR ALIVE,Tom Clancy with Grant Blackwood,combined-print-and-e-book-fiction,2011-03-01,1.0
14,9780316129114,ROOM,Emma Donoghue,combined-print-and-e-book-fiction,2011-03-01,1.0
15,9780345512505,HOTEL ON THE CORNER OF BITTER AND SWEET,Jamie Ford,combined-print-and-e-book-fiction,2011-03-01,1.0
16,9781426884269,MARRYING DAISY BELLAMY,Susan Wiggs,combined-print-and-e-book-fiction,2011-03-01,1.0
17,9781400079148,THE LOST SYMBOL,Dan Brown,combined-print-and-e-book-fiction,2011-03-01,1.0
18,9780425238691,THE POSTMISTRESS,Sarah Blake,combined-print-and-e-book-fiction,2011-03-01,1.0
19,9781416589648,LITTLE BEE,Chris Cleave,combined-print-and-e-book-fiction,2011-03-01,1.0
20,9781429994262,A HEARTBEAT AWAY,Michael Palmer,combined-print-and-e-book-fiction,2011-03-01,1.0
